iter	Passed	Remaining
0	207	207205
1	247	123579
2	288	95748
3	327	81622
4	366	72897
5	405	67211
6	444	63058
7	483	59958
8	521	57464
9	561	55575
10	605	54452
11	644	53059
12	683	51913
13	722	50899
14	761	50017
15	800	49241
16	839	48566
17	878	47917
18	916	47344
19	955	46809
20	994	46379
21	1035	46040
22	1076	45747
23	1118	45500
24	1161	45280
25	1202	45057
26	1243	44827
27	1286	44653
28	1327	44455
29	1368	44257
30	1409	44055
31	1449	43851
32	1490	43674
33	1530	43480
34	1570	43288
35	1609	43092
36	1648	42901
37	1687	42708
38	1726	42533
39	1765	42378
40	1805	42224
41	1844	42074
42	1883	41922
43	1924	41816
44	1963	41661
45	2001	41510
46	2040	41366
47	2078	41227
48	2117	41087
49	2155	40949
50	2194	40833
51	2232	40705
52	2272	40612
53	2314	40549
54	2355	40467
55	2394	40360
56	2433	40259
57	2472	40155
58	2511	40052
59	2549	39948
60	2587	39833
61	2626	39731
62	2663	39621
63	2702	39525
64	2740	39418
65	2778	39325
66	2817	39231
67	2855	39141
68	2894	39051
69	2933	38976
70	2972	38898
71	3012	38823
72	3050	38740
73	3089	38659
74	3127	38574
75	3166	38498
76	3205	38420
77	3244	38348
78	3282	38272
79	3321	38198
80	3360	38125
81	3399	38055
82	3438	37984
83	3477	37916
84	3515	37847
85	3553	37767
86	3591	37688
87	3630	37621
88	3670	37567
89	3713	37552
90	3753	37492
91	3793	37438
92	3832	37376
93	3870	37309
94	3909	37242
95	3948	37179
96	3986	37109
97	4025	37047
98	4063	36978
99	4101	36909
100	4139	36842
101	4177	36779
102	4216	36721
103	4256	36669
104	4296	36621
105	4337	36581
106	4376	36528
107	4416	36473
108	4455	36418
109	4494	36361
110	4533	36306
111	4572	36252
112	4611	36197
113	4650	36141
114	4688	36080
115	4726	36019
116	4765	35962
117	4804	35909
118	4842	35848
119	4880	35788
120	4917	35726
121	4956	35671
122	4995	35616
123	5033	35558
124	5071	35499
125	5109	35439
126	5147	35383
127	5186	35329
128	5224	35276
129	5263	35225
130	5302	35172
131	5341	35121
132	5380	35074
133	5419	35025
134	5458	34977
135	5497	34923
136	5535	34870
137	5573	34812
138	5611	34761
139	5650	34710
140	5688	34657
141	5727	34607
142	5767	34561
143	5806	34516
144	5845	34466
145	5883	34413
146	5922	34365
147	5964	34333
148	6002	34282
149	6040	34231
150	6079	34181
151	6117	34127
152	6155	34075
153	6193	34021
154	6232	33976
155	6272	33937
156	6312	33892
157	6351	33849
158	6390	33798
159	6428	33749
160	6466	33699
161	6505	33649
162	6542	33597
163	6580	33546
164	6618	33495
165	6657	33446
166	6695	33394
167	6732	33343
168	6770	33290
169	6808	33243
170	6848	33202
171	6887	33155
172	6925	33106
173	6963	33056
174	7000	33004
175	7038	32955
176	7076	32903
177	7115	32858
178	7154	32813
179	7193	32768
180	7231	32721
181	7270	32677
182	7310	32635
183	7348	32587
184	7387	32543
185	7425	32495
186	7463	32446
187	7501	32400
188	7540	32354
189	7577	32305
190	7616	32258
191	7653	32210
192	7692	32163
193	7730	32115
194	7768	32070
195	7806	32023
196	7844	31975
197	7882	31928
198	7921	31883
199	7959	31836
200	7997	31790
201	8034	31741
202	8072	31692
203	8109	31644
204	8148	31599
205	8185	31550
206	8223	31505
207	8262	31460
208	8300	31414
209	8338	31369
210	8377	31324
211	8415	31279
212	8453	31234
213	8492	31191
214	8530	31147
215	8568	31101
216	8606	31055
217	8645	31013
218	8685	30975
219	8725	30934
220	8763	30890
221	8802	30849
222	8841	30806
223	8880	30764
224	8918	30719
225	8957	30676
226	8995	30631
227	9034	30589
228	9073	30549
229	9112	30506
230	9159	30490
231	9197	30446
232	9235	30402
233	9275	30364
234	9315	30324
235	9354	30281
236	9392	30239
237	9432	30198
238	9471	30157
239	9509	30112
240	9547	30069
241	9586	30027
242	9625	29984
243	9662	29938
244	9699	29891
245	9738	29849
246	9776	29805
247	9814	29761
248	9852	29716
249	9890	29672
250	9928	29628
251	9967	29585
252	10006	29543
253	10043	29499
254	10082	29456
255	10121	29415
256	10160	29374
257	10198	29329
258	10236	29286
259	10276	29249
260	10316	29209
261	10355	29168
262	10393	29126
263	10432	29085
264	10471	29043
265	10509	28999
266	10547	28955
267	10585	28912
268	10623	28869
269	10662	28827
270	10700	28784
271	10738	28740
272	10776	28698
273	10814	28655
274	10853	28614
275	10891	28570
276	10930	28528
277	10968	28487
278	11007	28445
279	11045	28403
280	11084	28361
281	11122	28318
282	11159	28273
283	11198	28231
284	11236	28190
285	11277	28154
286	11319	28120
287	11357	28078
288	11396	28038
289	11435	27997
290	11473	27954
291	11512	27913
292	11550	27871
293	11589	27829
294	11627	27787
295	11664	27743
296	11703	27702
297	11742	27661
298	11780	27618
299	11818	27576
300	11856	27534
301	11894	27492
302	11932	27449
303	11970	27405
304	12007	27362
305	12046	27321
306	12085	27281
307	12123	27238
308	12162	27198
309	12200	27156
310	12238	27114
311	12278	27075
312	12317	27036
313	12356	26996
314	12395	26955
315	12434	26914
316	12473	26874
317	12511	26831
318	12548	26789
319	12586	26746
320	12625	26706
321	12663	26665
322	12701	26622
323	12739	26580
324	12778	26539
325	12816	26498
326	12855	26458
327	12895	26419
328	12934	26380
329	12972	26338
330	13010	26295
331	13048	26254
332	13086	26212
333	13125	26171
334	13162	26129
335	13200	26087
336	13239	26046
337	13276	26003
338	13315	25963
339	13354	25923
340	13392	25881
341	13431	25842
342	13471	25804
343	13510	25764
344	13550	25725
345	13590	25687
346	13629	25649
347	13668	25609
348	13707	25568
349	13746	25529
350	13784	25488
351	13822	25446
352	13860	25403
353	13898	25363
354	13937	25322
355	13975	25281
356	14013	25240
357	14052	25199
358	14090	25158
359	14128	25116
360	14167	25076
361	14205	25035
362	14245	24997
363	14284	24958
364	14323	24919
365	14363	24881
366	14403	24842
367	14441	24801
368	14479	24759
369	14516	24717
370	14554	24675
371	14592	24634
372	14630	24593
373	14668	24552
374	14707	24511
375	14744	24470
376	14782	24428
377	14820	24387
378	14858	24346
379	14896	24305
380	14934	24264
381	14973	24223
382	15011	24183
383	15049	24141
384	15087	24101
385	15125	24060
386	15163	24019
387	15201	23978
388	15240	23938
389	15280	23900
390	15320	23861
391	15359	23823
392	15399	23784
393	15438	23745
394	15475	23703
395	15513	23662
396	15551	23621
397	15589	23580
398	15628	23540
399	15666	23500
400	15705	23460
401	15745	23422
402	15785	23384
403	15823	23343
404	15861	23302
405	15899	23261
406	15937	23220
407	15975	23180
408	16014	23140
409	16052	23099
410	16089	23058
411	16127	23016
412	16165	22976
413	16203	22936
414	16243	22896
415	16282	22858
416	16320	22817
417	16359	22778
418	16398	22738
419	16436	22698
420	16474	22657
421	16512	22617
422	16551	22577
423	16589	22537
424	16628	22497
425	16666	22456
426	16703	22415
427	16742	22375
428	16780	22335
429	16819	22296
430	16857	22255
431	16896	22215
432	16934	22175
433	16972	22134
434	17010	22093
435	17048	22053
436	17085	22012
437	17123	21970
438	17162	21931
439	17200	21892
440	17241	21854
441	17281	21816
442	17320	21778
443	17359	21738
444	17398	21699
445	17436	21659
446	17475	21619
447	17513	21578
448	17550	21537
449	17589	21497
450	17627	21457
451	17664	21416
452	17703	21376
453	17740	21336
454	17778	21295
455	17817	21255
456	17856	21216
457	17894	21176
458	17933	21136
459	17972	21097
460	18010	21058
461	18048	21017
462	18087	20978
463	18125	20937
464	18163	20898
465	18202	20858
466	18239	20817
467	18278	20777
468	18316	20738
469	18355	20698
470	18394	20659
471	18433	20620
472	18471	20580
473	18511	20542
474	18549	20502
475	18589	20463
476	18629	20426
477	18668	20387
478	18707	20347
479	18746	20308
480	18785	20269
481	18823	20229
482	18861	20189
483	18899	20149
484	18946	20118
485	18984	20078
486	19022	20037
487	19059	19997
488	19098	19957
489	19135	19916
490	19174	19877
491	19213	19838
492	19252	19799
493	19292	19760
494	19330	19721
495	19370	19682
496	19409	19643
497	19447	19603
498	19484	19563
499	19522	19522
500	19561	19483
501	19599	19442
502	19637	19403
503	19676	19364
504	19714	19324
505	19752	19284
506	19790	19244
507	19829	19204
508	19867	19164
509	19905	19125
510	19944	19085
511	19982	19045
512	20020	19006
513	20059	18967
514	20098	18928
515	20137	18888
516	20175	18848
517	20214	18809
518	20254	18771
519	20296	18734
520	20335	18695
521	20375	18657
522	20413	18618
523	20452	18578
524	20489	18538
525	20528	18498
526	20566	18459
527	20604	18419
528	20642	18379
529	20681	18339
530	20719	18300
531	20757	18260
532	20796	18221
533	20834	18181
534	20872	18141
535	20911	18102
536	20949	18062
537	20987	18022
538	21025	17983
539	21065	17944
540	21108	17908
541	21146	17869
542	21184	17829
543	21223	17790
544	21263	17751
545	21301	17712
546	21341	17673
547	21380	17635
548	21420	17597
549	21459	17558
550	21498	17519
551	21537	17480
552	21576	17440
553	21614	17400
554	21652	17361
555	21690	17321
556	21729	17281
557	21767	17242
558	21805	17202
559	21844	17163
560	21883	17124
561	21921	17084
562	21959	17045
563	21997	17005
564	22036	16965
565	22073	16925
566	22111	16886
567	22151	16847
568	22189	16807
569	22228	16768
570	22268	16730
571	22307	16691
572	22345	16651
573	22384	16612
574	22422	16573
575	22462	16534
576	22501	16495
577	22540	16456
578	22578	16417
579	22617	16378
580	22656	16338
581	22694	16299
582	22731	16259
583	22769	16219
584	22807	16179
585	22846	16140
586	22885	16101
587	22924	16062
588	22962	16023
589	23000	15983
590	23039	15944
591	23077	15904
592	23115	15865
593	23153	15825
594	23191	15785
595	23229	15746
596	23267	15706
597	23305	15666
598	23343	15627
599	23382	15588
600	23420	15548
601	23459	15509
602	23496	15469
603	23535	15430
604	23573	15391
605	23612	15352
606	23652	15313
607	23691	15274
608	23730	15235
609	23770	15197
610	23808	15157
611	23847	15118
612	23884	15079
613	23923	15039
614	23961	15000
615	23998	14960
616	24036	14920
617	24075	14881
618	24113	14841
619	24151	14802
620	24189	14763
621	24229	14724
622	24270	14686
623	24309	14648
624	24348	14609
625	24387	14570
626	24427	14531
627	24466	14492
628	24504	14453
629	24544	14414
630	24583	14375
631	24620	14336
632	24658	14296
633	24697	14257
634	24736	14218
635	24773	14178
636	24812	14139
637	24851	14100
638	24889	14061
639	24927	14021
640	24966	13982
641	25005	13943
642	25043	13904
643	25081	13864
644	25119	13825
645	25157	13786
646	25196	13746
647	25234	13707
648	25274	13669
649	25313	13630
650	25352	13591
651	25391	13552
652	25430	13513
653	25470	13474
654	25508	13435
655	25546	13396
656	25585	13357
657	25623	13318
658	25662	13278
659	25701	13240
660	25740	13201
661	25779	13162
662	25817	13122
663	25855	13083
664	25893	13044
665	25932	13005
666	25970	12965
667	26008	12926
668	26046	12887
669	26084	12847
670	26122	12808
671	26160	12768
672	26199	12729
673	26238	12691
674	26278	12652
675	26317	12613
676	26355	12574
677	26394	12535
678	26432	12495
679	26471	12457
680	26509	12417
681	26547	12378
682	26585	12339
683	26623	12299
684	26664	12261
685	26708	12225
686	26747	12186
687	26785	12146
688	26824	12108
689	26863	12069
690	26902	12030
691	26942	11991
692	26980	11952
693	27019	11913
694	27057	11874
695	27096	11835
696	27135	11796
697	27175	11757
698	27215	11719
699	27255	11680
700	27293	11641
701	27333	11603
702	27372	11564
703	27410	11525
704	27449	11486
705	27488	11446
706	27526	11407
707	27565	11368
708	27603	11329
709	27641	11290
710	27680	11251
711	27718	11211
712	27756	11172
713	27794	11133
714	27832	11093
715	27871	11055
716	27909	11015
717	27946	10976
718	27984	10937
719	28023	10898
720	28062	10858
721	28100	10819
722	28138	10780
723	28176	10741
724	28214	10701
725	28252	10662
726	28291	10623
727	28328	10584
728	28367	10545
729	28405	10506
730	28444	10467
731	28482	10428
732	28520	10388
733	28560	10350
734	28600	10311
735	28639	10273
736	28679	10234
737	28718	10195
738	28757	10156
739	28795	10117
740	28833	10078
741	28871	10038
742	28910	9999
743	28949	9960
744	28987	9921
745	29025	9882
746	29063	9843
747	29101	9804
748	29139	9765
749	29178	9726
750	29217	9687
751	29257	9648
752	29297	9610
753	29336	9571
754	29376	9532
755	29415	9493
756	29453	9454
757	29492	9415
758	29530	9376
759	29569	9337
760	29606	9298
761	29645	9259
762	29683	9220
763	29722	9181
764	29760	9142
765	29798	9103
766	29837	9063
